pdf,page,index,source,side_pt,native_width,native_height,trimmed,detector_score,texture,x0,y0,x1,y1
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,254,0,embedded,154.56,1288,1256,True,1.0,0.7525,242.29,368.27,396.85,518.99
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,260,0,embedded,151.68,1264,1264,True,1.0,0.8018,43.57,216.59,195.25,368.27
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,260,1,embedded,153.6,1280,1264,True,1.0,0.8065,243.25,443.16,396.85,594.84
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,271,0,embedded,152.64,1272,1264,True,1.0,0.7185,44.17,163.19,196.81,314.87
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,277,0,embedded,153.6,1280,1256,True,1.0,0.7456,243.25,142.68,396.85,293.4
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,289,0,embedded,154.56,1288,1264,True,1.0,0.7397,243.85,74.87,398.41,226.55
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,295,0,embedded,153.6,1280,1256,True,1.0,0.7465,44.17,191.04,197.77,341.76
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,295,1,embedded,154.56,1288,1256,True,1.0,0.7975,243.85,114.23,398.41,264.95
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,301,0,embedded,153.6,1280,1256,True,1.0,0.7542,44.17,274.55,197.77,425.27
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,307,0,embedded,152.64,1272,1264,True,1.0,0.7211,43.21,50.87,195.85,202.55
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,307,1,embedded,154.56,1288,1264,True,1.0,0.7656,243.85,261.11,398.41,412.79
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,312,0,embedded,152.64,1272,1264,True,1.0,0.7518,43.21,443.52,195.85,595.2
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,318,0,embedded,152.64,1272,1256,True,1.0,0.7656,43.21,352.32,195.85,503.04
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,330,0,embedded,152.64,1272,1264,True,1.0,0.7259,43.21,450.24,195.85,601.92
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,336,0,embedded,152.64,1272,1264,True,1.0,0.7596,42.25,47.99,194.89,199.67
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,336,1,embedded,153.6,1280,1264,True,1.0,0.7815,242.89,102.71,396.49,254.39
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,342,0,embedded,153.6,1280,1264,True,1.0,0.8131,42.25,193.92,195.85,345.6
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,348,0,embedded,152.64,1272,1264,True,1.0,0.7694,42.25,154.55,194.89,306.23
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,348,1,embedded,153.6,1280,1264,True,1.0,0.7154,242.89,318.71,396.49,470.39
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,354,0,embedded,156.48,1304,1264,True,0.7946,0.8034,243.61,49.08,400.09,200.76
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,359,0,embedded,153.6,1280,1264,True,1.0,0.7724,244.81,103.67,398.41,255.35
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,365,0,embedded,152.64,1272,1264,True,1.0,0.7422,246.73,420.47,399.37,572.15
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,371,0,embedded,152.64,1272,1264,True,1.0,0.768,45.49,236.76,198.13,388.44
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,395,0,embedded,152.64,1272,1264,True,1.0,0.8147,244.81,189.11,397.45,340.79
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,401,0,embedded,152.64,1272,1264,True,1.0,0.7693,46.09,276.47,198.73,428.15
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,406,0,embedded,154.56,1288,1264,True,1.0,0.7904,243.85,202.55,398.41,354.23
