pdf,page,index,source,side_pt,native_width,native_height,trimmed,detector_score,texture,x0,y0,x1,y1
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,203,0,contour,218.87,800,800,False,0.5,0.6429,81.79,142.64,300.66,361.51
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,203,1,contour,219.19,800,800,False,0.5,0.6502,81.79,513.31,300.33,732.5
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,203,2,contour,215.6,800,800,False,0.5,0.6841,326.17,144.6,541.77,360.2
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,203,3,contour,219.85,800,800,False,0.5,0.6338,324.87,512.98,543.08,732.83
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,219,0,contour,219.19,800,800,False,0.5,0.4908,81.79,142.64,300.33,361.83
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,219,1,contour,216.25,800,800,False,0.5,0.5577,83.42,514.94,298.69,731.19
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,219,2,contour,218.54,800,800,False,0.5,0.6194,324.87,143.29,543.08,361.83
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,219,3,contour,219.52,800,800,False,0.5,0.6748,324.21,513.31,543.08,732.83
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,236,0,contour,215.92,800,800,False,0.5,0.631,84.08,143.95,299.35,359.87
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,236,1,contour,220.5,800,800,False,0.5,0.573,82.44,512.98,300.33,733.48
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,236,2,contour,219.19,800,800,False,0.5,0.6095,323.56,142.31,541.44,361.51
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,236,3,contour,217.23,800,800,False,0.5,0.6538,324.54,514.62,539.81,731.85
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,253,0,contour,215.92,800,800,False,0.5,0.566,83.42,143.62,298.69,359.54
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,253,1,contour,220.18,800,800,False,0.5,0.5103,81.79,512.65,300.33,732.83
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,253,2,contour,218.54,800,800,False,0.5,0.628,323.88,141.99,542.42,360.53
1000 Chess Problems - Yakov Vladimirov 2015 .pdf,253,3,contour,219.85,800,800,False,0.5,0.6586,324.21,512.65,542.75,732.5
"1001_Sacrificios_e__Combinações_Vencedores_Fred_Reinfeld,_Bruce_hq.pdf",46,0,embedded,280.5,350,350,True,1.0,0.3087,165.75,144.75,446.25,425.25
"1001_Sacrificios_e__Combinações_Vencedores_Fred_Reinfeld,_Bruce_hq.pdf",91,0,embedded,280.5,350,350,True,1.0,0.3092,165.75,144.75,446.25,425.25
"1001_Sacrificios_e__Combinações_Vencedores_Fred_Reinfeld,_Bruce_hq.pdf",135,0,embedded,280.5,350,350,True,1.0,0.2752,165.75,144.75,446.25,425.25
"1001_Sacrificios_e__Combinações_Vencedores_Fred_Reinfeld,_Bruce_hq.pdf",180,0,embedded,280.5,350,350,True,1.0,0.312,165.75,144.75,446.25,425.25
"1001_Sacrificios_e__Combinações_Vencedores_Fred_Reinfeld,_Bruce_hq.pdf",225,0,embedded,280.5,350,350,True,1.0,0.3112,165.75,144.75,446.25,425.25
"1001_Sacrificios_e__Combinações_Vencedores_Fred_Reinfeld,_Bruce_hq.pdf",270,0,embedded,280.5,350,350,True,1.0,0.3392,165.75,144.75,446.25,425.25
"1001_Sacrificios_e__Combinações_Vencedores_Fred_Reinfeld,_Bruce_hq.pdf",315,0,embedded,280.5,350,350,True,1.0,0.2586,165.75,144.75,446.25,425.25
"1001_Sacrificios_e__Combinações_Vencedores_Fred_Reinfeld,_Bruce_hq.pdf",359,0,embedded,280.5,350,350,True,1.0,0.3083,165.75,144.75,446.25,425.25
"1001_Sacrificios_e__Combinações_Vencedores_Fred_Reinfeld,_Bruce_hq.pdf",404,0,embedded,280.5,350,350,True,1.0,0.2303,165.75,144.75,446.25,425.25
"1001_Sacrificios_e__Combinações_Vencedores_Fred_Reinfeld,_Bruce_hq.pdf",449,0,embedded,280.5,350,350,True,1.0,0.1708,165.75,144.75,446.25,425.25
"1001_Sacrificios_e__Combinações_Vencedores_Fred_Reinfeld,_Bruce_hq.pdf",494,0,embedded,280.5,350,350,True,1.0,0.4691,165.75,144.75,446.25,425.25
"1001_Sacrificios_e__Combinações_Vencedores_Fred_Reinfeld,_Bruce_hq.pdf",539,0,embedded,280.5,350,350,True,1.0,0.3189,165.75,144.75,446.25,425.25
"1001_Sacrificios_e__Combinações_Vencedores_Fred_Reinfeld,_Bruce_hq.pdf",583,0,embedded,280.5,350,350,True,1.0,0.2505,165.75,144.75,446.25,425.25
"1001_Sacrificios_e__Combinações_Vencedores_Fred_Reinfeld,_Bruce_hq.pdf",628,0,embedded,280.5,350,350,True,1.0,0.5736,165.75,144.75,446.25,425.25
"1001_Sacrificios_e__Combinações_Vencedores_Fred_Reinfeld,_Bruce_hq.pdf",673,0,embedded,280.5,350,350,True,1.0,0.5077,165.75,144.75,446.25,425.25
"1001_Sacrificios_e__Combinações_Vencedores_Fred_Reinfeld,_Bruce_hq.pdf",718,0,embedded,280.5,350,350,True,1.0,0.4187,165.75,144.75,446.25,425.25
"1001_Sacrificios_e__Combinações_Vencedores_Fred_Reinfeld,_Bruce_hq.pdf",763,0,embedded,280.5,350,350,True,1.0,0.1462,165.75,144.75,446.25,425.25
"1001_Sacrificios_e__Combinações_Vencedores_Fred_Reinfeld,_Bruce_hq.pdf",807,0,embedded,280.5,350,350,True,1.0,0.6634,165.75,144.75,446.25,425.25
"1001_Sacrificios_e__Combinações_Vencedores_Fred_Reinfeld,_Bruce_hq.pdf",852,0,embedded,280.5,350,350,True,1.0,0.4722,165.75,144.75,446.25,425.25
"1001_Sacrificios_e__Combinações_Vencedores_Fred_Reinfeld,_Bruce_hq.pdf",897,0,embedded,280.5,350,350,True,1.0,0.2585,165.75,144.75,446.25,425.25
"1001_Sacrificios_e__Combinações_Vencedores_Fred_Reinfeld,_Bruce_hq.pdf",942,0,embedded,280.5,350,350,True,1.0,0.3593,165.75,144.75,446.25,425.25
"1001_Sacrificios_e__Combinações_Vencedores_Fred_Reinfeld,_Bruce_hq.pdf",987,0,embedded,280.5,350,350,True,1.0,0.1883,165.75,144.75,446.25,425.25
"1001_Sacrificios_e__Combinações_Vencedores_Fred_Reinfeld,_Bruce_hq.pdf",1031,0,embedded,280.5,350,350,True,1.0,0.2284,165.75,144.75,446.25,425.25
"1001_Winning_Chess_Sacrifices_and_Combinations,_Fred_Reinfeld,_Bruce.pdf",46,0,embedded,280.5,350,350,True,1.0,0.5965,165.75,144.75,446.25,425.25
"1001_Winning_Chess_Sacrifices_and_Combinations,_Fred_Reinfeld,_Bruce.pdf",91,0,embedded,280.5,350,350,True,1.0,0.5781,165.75,144.75,446.25,425.25
"1001_Winning_Chess_Sacrifices_and_Combinations,_Fred_Reinfeld,_Bruce.pdf",136,0,embedded,280.5,350,350,True,1.0,0.538,165.75,144.75,446.25,425.25
"1001_Winning_Chess_Sacrifices_and_Combinations,_Fred_Reinfeld,_Bruce.pdf",180,0,embedded,280.5,350,350,True,1.0,0.5299,165.75,144.75,446.25,425.25
